,artists,duration_ms,explicit,id,mode,name,popularity,release_date,year,language,combined_features
137535,"['Giacomo Puccini', 'Victor de Sabata', 'Orchestra Del Teatro Alla Scala, Milano']",126760,0,0CFOb8aMolmuWqHQlf70sj,0,"Puccini: Tosca, Act 1 Scene 1: ""Ah! Finalmente! Nel terror mio stolto"" (Angelotti)",1,1953,1953,,"['Giacomo Puccini', 'Victor de Sabata', 'Orchestra Del Teatro Alla Scala, Milano'] 1953"
152196,"['Alejandro Fernández', 'Christina Aguilera']",291107,0,0qO4GfXADY9QfgcgtrasT9,0,Hoy Tengo Ganas De Ti,66,2013-01-01,2013,,"['Alejandro Fernández', 'Christina Aguilera'] 2013-01-01"
34991,['Loretta Lynn'],152067,0,6I6en5REZj6HViF6f8JqrU,1,Before I'm Over You,19,1968-01-01,1968,,['Loretta Lynn'] 1968-01-01
68467,['Steve Wariner'],229587,0,76mqOI9AUmMVRsepZyXn7r,1,The Weekend,31,1998-01-01,1998,,['Steve Wariner'] 1998-01-01
12791,['Iggy Pop'],268533,0,7Fb9KsEzGFKqRABQJMr2ot,0,Cry For Love,38,1986-10-27,1986,,['Iggy Pop'] 1986-10-27
66969,['Queen'],307080,0,7np9U57FUbeENBb2wWsmhJ,1,Machines (Or Back To Humans) - Remastered 2011,22,1984-02-27,1984,,['Queen'] 1984-02-27
164602,['The Paragons'],175280,0,5bwGUv9VP1m4qmvkRNSqIQ,1,Only a Smile,27,1967-01-01,1967,,['The Paragons'] 1967-01-01
156736,['The Beatles'],220307,0,61RZZePxOOTDVxIud3iyin,1,The Long And Winding Road - Remastered 2009,39,1973-04-02,1973,,['The Beatles'] 1973-04-02
87093,"['Drake', 'Lil Wayne']",206627,1,0m1KYWlT6LhFRBDVq9UNx4,0,HYFR (Hell Ya Fucking Right),68,2011-11-15,2011,,"['Drake', 'Lil Wayne'] 2011-11-15"
141652,['The Temprees'],371733,0,0HA7vsKzIav8xyvaQhcnVx,1,Out Of My Reach,41,1994-01-01,1994,,['The Temprees'] 1994-01-01
106808,['Kelsea Ballerini'],200040,0,2wqXQjOmQ9KoBm9Ssgt4Fo,1,Peter Pan,62,2015-05-18,2015,,['Kelsea Ballerini'] 2015-05-18
116206,['Alabama Shakes'],268853,0,3IBhpCAFOJxynTfrw0t2LN,1,This Feeling,59,2015-04-21,2015,,['Alabama Shakes'] 2015-04-21
6454,['The Charlie Daniels Band'],278173,0,60GMyiG2UszqvPn88j1HlO,1,The Legend of Wooly Swamp,42,2004,2004,English,['The Charlie Daniels Band'] 2004
43474,['Bob Dylan'],429120,0,45EwNhLS19bQGUFGdLkn7o,1,"Like a Rolling Stone - Live at LA Forum, Inglewood, CA - February 1974",25,1974-06-20,1974,,['Bob Dylan'] 1974-06-20
14151,['Kyla'],249187,0,2l0jvrJplQPD7RaeGqYNCV,1,Hanggang Ngayon,56,2000,2000,,['Kyla'] 2000
64653,['Buddy Greco'],175333,0,7dlFCelqApYY754hvj6zb9,0,Something's Gotta Give,13,1960-12-23,1960,,['Buddy Greco'] 1960-12-23
4019,['Blackfoot'],188307,0,0E5GQJPvKvp2XEcwSLyROD,1,Road Fever,29,1979,1979,English,['Blackfoot'] 1979
76212,['Korn'],240160,1,52iwy78GCO58e6fb7CB4Kb,1,Bottled up Inside,37,2002-06-20,2002,,['Korn'] 2002-06-20
17832,"['Frankie Laine', 'Buck Clayton']",319440,0,6wMoTfKB8Ra3SMyIF86I8j,1,Stars Fell On Alabama,12,1956,1956,,"['Frankie Laine', 'Buck Clayton'] 1956"
123599,['Jimmy Buffett'],270173,0,4afAmFuF8Mr3XXIWztIvtx,1,Uncle John's Band,44,1994-01-01,1994,,['Jimmy Buffett'] 1994-01-01
14280,['2Pac'],266800,1,27pK4kMx63JGRVM1she2EJ,0,Never Had A Friend Like Me,46,2001-05-01,2001,,['2Pac'] 2001-05-01
7299,['Larry Hernández'],174573,0,3m0jPrfDlp38tu7JYdWLch,1,Gente VIP,53,2012-01-01,2012,Spanish,['Larry Hernández'] 2012-01-01
73358,['The Manhattans'],220867,0,0K8sb6w9QhpAqq9j1kMf7c,1,Do You Really Mean Goodbye?,24,1973,1973,,['The Manhattans'] 1973
10574,['The Supremes'],167707,0,0j5jPViYrfCB9ZODWv9IAS,1,Your Kiss Of Fire,19,1964-08-31,1964,,['The Supremes'] 1964-08-31
101205,['Ritchie Valens'],134907,0,2mkkfindqnoQRPFyp1bzbl,1,"Cry, Cry, Cry",30,1959,1959,,['Ritchie Valens'] 1959
11597,['Barry Manilow'],209440,0,5atGcJJtcI0UA9l518SKYo,1,Even Now,27,1974,1974,,['Barry Manilow'] 1974
37376,['Pavement'],101467,0,3Ys6lsiSmyUAG4y5VKSmY6,1,Zurich Is Stained,34,1992-04-20,1992,,['Pavement'] 1992-04-20
56367,"['Ludwig van Beethoven', 'Ilona Steingruber', 'Else Schurhoff', 'Erich Majkut', 'Otto Wiener', 'Wiener Akademie-Chor', 'Wiener Symphoniker', 'Otto Klemperer']",167022,0,398lU6GXfX1faHLAmC5mlf,0,"Missa Solemnis, Op. 123: Credo: Et resurrexit tertia die",0,1951,1951,,"['Ludwig van Beethoven', 'Ilona Steingruber', 'Else Schurhoff', 'Erich Majkut', 'Otto Wiener', 'Wiener Akademie-Chor', 'Wiener Symphoniker', 'Otto Klemperer'] 1951"
58938,['Eric Clapton'],393693,0,6FC8ehsQvhZG5kmArwJqgR,0,Further On Up The Road - Live At Hammersmith Odeon,27,1977-11-01,1977,,['Eric Clapton'] 1977-11-01
31232,['The Vegabonds'],314253,0,2BzbQ3rjA5zOe9XhCL7E5u,1,Shaky Hands,44,2010-05-24,2010,,['The Vegabonds'] 2010-05-24
11840,['Francis Lai'],205333,0,1KjGPEPbj3ia6MhpaF3eyY,1,Bilitis - Generique,42,1977-07-01,1977,,['Francis Lai'] 1977-07-01
161798,"['Sinclair Lewis', 'Frank Arnold']",209438,0,4AZnTqQST4ZtJLZFG07Kyq,0,"Das ist bei uns nicht möglich, Kapitel 42",0,1935,1935,,"['Sinclair Lewis', 'Frank Arnold'] 1935"
167115,['Joshua Kadison'],319027,0,4n8iSiSWRdaSeSpJMbdk9O,1,Jessie,56,1993-01-01,1993,,['Joshua Kadison'] 1993-01-01
148595,['Thin Lizzy'],234920,0,6KqIjAkxFmCCMrjFJJJFve,1,Romeo And The Lonely Girl,37,1976,1976,,['Thin Lizzy'] 1976
36608,['Anthrax'],242427,0,4NPF8PAzyNGuRAuBCrqKU6,1,Panic,31,1984,1984,,['Anthrax'] 1984
95919,['Los Tigres Del Norte'],195613,0,7e9vWIQWNE6r74PBC7ixdS,0,La Camioneta Gris,61,2001-01-01,2001,,['Los Tigres Del Norte'] 2001-01-01
115744,['Florence + The Machine'],271013,0,6cC9RY7MoUx5z3aHjDTNI6,1,Never Let Me Go,56,2011-01-01,2011,,['Florence + The Machine'] 2011-01-01
24263,['Lazaros Rouvas'],174453,0,5Opz8RcdA8JYpscRhlqhYM,0,Auta ta matia Dhmo mou,0,1930-01-01,1930,,['Lazaros Rouvas'] 1930-01-01
25638,['The Brute Force Steel Band'],143560,0,36AN9rflnWmQqKCgdOguIC,0,Mambo No. 5,3,1955-01-01,1955,,['The Brute Force Steel Band'] 1955-01-01
131828,['U2'],243040,0,6ECuTFjWKMCGTPKwCyuQkY,0,Two Hearts Beat As One - Remastered 2008,40,1983-02-28,1983,,['U2'] 1983-02-28
74537,['Lee Greenwood'],222240,0,0UBkwxXS6oX9fliEpSsQf8,1,"Ring On Her Finger, Time On Her Hands",20,1985-01-01,1985,,['Lee Greenwood'] 1985-01-01
126575,['Francisco Canaro'],175400,0,4mkzrcEkZL6M1qRhTjAB3M,1,No Seas Malita - Instrumental (Remasterizado),0,1929-10-18,1929,,['Francisco Canaro'] 1929-10-18
49537,['Ahmad Jamal'],181827,0,2IGrmeIPhZgR9mVhsyrP2G,1,Seleritus,9,1959-10-11,1959,,['Ahmad Jamal'] 1959-10-11
23324,['Rebecca Black'],210026,0,4fK6E2UywZTJIa5kWnCD6x,0,Friday,50,2011-03-14,2011,,['Rebecca Black'] 2011-03-14
117014,"['Francisco Canaro', 'Charlo']",167307,0,2Q5MyQIJ9bewVgLDDm7SE2,1,Otra Vez el Viejo - Remasterizado,0,1928-09-16,1928,,"['Francisco Canaro', 'Charlo'] 1928-09-16"
98422,['Ignacio Corsini'],130013,0,3Tpm7HHuWsZM0cINI7OK5X,1,Hijo de Fango - Remasterizado,0,1931-06-25,1931,,['Ignacio Corsini'] 1931-06-25
89213,"['Francisco Canaro', 'Roberto Maida']",174933,0,2NuWbS19E0yyhNxpaasLZd,1,No Hay Que Hacerse Mala Sangre - Remasterizado,0,1934-01-10,1934,,"['Francisco Canaro', 'Roberto Maida'] 1934-01-10"
2678,['Louis Armstrong'],149133,0,7LehAvMS14FjPqKmlfbo1B,0,Cheesecake,25,1966-01-06,1966,English,['Louis Armstrong'] 1966-01-06
129834,['Charles Mingus'],271800,0,6gH1CHy43iHlv9fvYaewmB,1,Body And Soul,22,1963,1963,,['Charles Mingus'] 1963
110245,['Billie Holiday'],168440,0,3gTtCCXSpsCGabd7xWvcNZ,1,No More,28,1956-01-01,1956,,['Billie Holiday'] 1956-01-01
44139,['Depeche Mode'],225267,0,0u8vkLhd2HhKWrOkDyRLHg,1,Just Can't Get Enough - Single Version,23,1981,1981,,['Depeche Mode'] 1981
12035,['Black Devil Disco Club'],343380,0,6Dy4F2BcVwKLz0tvJ4d9YN,0,"""H"" Friend",24,1978-05-12,1978,,['Black Devil Disco Club'] 1978-05-12
60173,['Delbert McClinton'],225933,0,4eHL2BJnEdrKarXui1JRFi,1,Going Back To Louisiana,26,1989,1989,,['Delbert McClinton'] 1989
8546,['Giorgio Consolini'],188056,0,5KqWXRfBxxkWwn52dv8amK,1,Il mare,0,1942-11-23,1942,,['Giorgio Consolini'] 1942-11-23
70395,"['The Gregory Brothers', 'TomSka']",187046,0,1LGv7Ah6TXp1soAAIzzuGC,1,The Muffin Song (asdfmovie),64,2018-05-11,2018,,"['The Gregory Brothers', 'TomSka'] 2018-05-11"
104264,['Alejandra Guzman'],262800,0,5uUbn7rgQB6hqp3zQUT9sv,0,Llama Por Favor,44,1990,1990,,['Alejandra Guzman'] 1990
158312,"['Don Moen', ""Integrity's Hosanna! Music""]",292373,0,2Z8zIeFEmwkVJjXv95Uru5,1,I Want to Be Where You Are - Live,48,1989-01-01,1989,,"['Don Moen', ""Integrity's Hosanna! Music""] 1989-01-01"
43830,['Gene Simmons'],148440,0,6zIu5rbQGIe1gMoAGqS7KH,1,See You Tonite,30,1978-01-01,1978,,['Gene Simmons'] 1978-01-01
64351,['Red Garland Quintet'],451280,0,4qIvEVQr1Spnkv4uudFdjP,0,Birks' Works,8,1957,1957,,['Red Garland Quintet'] 1957
83507,['KC & The Sunshine Band'],132040,0,37d8O4cIq36tssCoJnhJxg,1,Boogie Shoes - 2004 Remaster,55,1975,1975,,['KC & The Sunshine Band'] 1975
137792,['George Jones'],137667,0,4ufnfPuadcVChBTuOwv8Ro,1,Uh Uh No,7,1955,1955,,['George Jones'] 1955
97228,['James Bay'],238747,0,7tmtOEDxPN7CWaQWBsG1DY,1,Hold Back The River,63,2014-12-15,2014,,['James Bay'] 2014-12-15
158576,['Dj Laz'],229400,0,1wERNTYFse2J4G6rt2ORxw,1,Mami El Negro,35,1991-11-26,1991,,['Dj Laz'] 1991-11-26
22408,['John Williams'],308200,0,0rpSIjKSmZ2SFO6vmLJpXl,1,Reunion of Friends,46,2002-11-11,2002,,['John Williams'] 2002-11-11
69171,['Staind'],278827,0,1WegYbbnBVs1fHFQAbXC05,0,Nutshell - Acoustic Live,41,2006-11-14,2006,,['Staind'] 2006-11-14
112245,"['The Doobie Brothers', 'James Taylor']",219533,0,1UBxiGQ2blRKft3csoK9H8,1,Takin' It to the Streets,43,1976-10-29,1976,,"['The Doobie Brothers', 'James Taylor'] 1976-10-29"
77464,"['Kill Bill: The Rapper', 'Rekcahdam', 'Rav']",179040,1,13KbVZat4zUlwWDrdM4F1R,0,Dream Eater,48,2014-09-14,2014,,"['Kill Bill: The Rapper', 'Rekcahdam', 'Rav'] 2014-09-14"
101363,['Harry Belafonte'],234848,0,7MPrtKPg6R3TnFHkJvXQEn,1,Angelina,32,1961-07-21,1961,,['Harry Belafonte'] 1961-07-21
163689,"['Alexander Borodin', 'George Szell', 'Cleveland Orchestra']",75027,0,7HmJRMjJUhNwwLpIP9iGjX,1,Polovetsian Dances from Prince Igor: Moderato alla breve,17,1958,1958,,"['Alexander Borodin', 'George Szell', 'Cleveland Orchestra'] 1958"
78822,"['Louis Armstrong & His Hot Seven', 'Carroll Dickerson Orchestra']",188533,0,1TbFgIgRWjbON6pcme7SYz,1,Savoyagers' Stomp,4,1928,1928,,"['Louis Armstrong & His Hot Seven', 'Carroll Dickerson Orchestra'] 1928"
120297,['LaVern Baker'],174733,0,091baWWCDEowJprUts9La0,1,Saved,24,1961,1961,,['LaVern Baker'] 1961
92488,['The Doors'],170693,0,09ezgACZuwWZt6CtQSSLRG,0,End of the Night,53,1967-01-04,1967,,['The Doors'] 1967-01-04
20851,"[""Guns N' Roses""]",263573,1,1wqFouLLvUubTnTMou7XIF,1,Out Ta Get Me,38,1987-07-29,1987,,"[""Guns N' Roses""] 1987-07-29"
10116,['The Brothers Four'],114533,0,2srYjpyIwO79BVx0tBa1tD,1,Sama Kama Wacky Brown,15,1959-12-21,1959,,['The Brothers Four'] 1959-12-21
78777,['Louis Armstrong & His Hot Five'],182027,0,2NcrMDcyq8GdbJRbN5glYz,1,I'm Not Rough,17,1928,1928,,['Louis Armstrong & His Hot Five'] 1928
38277,['Roberto Jordan'],130067,0,0nwKAvbDJeBs5dPH8sdeRO,1,Amor de Estudiante,54,2001-11-07,2001,,['Roberto Jordan'] 2001-11-07
114663,['Dynamite Hack'],184533,0,1yqrRceF7VaEM3N1Qwc9nJ,1,Boyz In The Hood,49,2000-05-23,2000,,['Dynamite Hack'] 2000-05-23
663,['University of North Texas Symphony Orchestra'],128867,0,4mn8NLXic5YnS5aPQYl24F,1,ไกลกังวล / เกิดเป็นไทยตายเพื่อไทย,1,1946-12-02,1946,Thai,['University of North Texas Symphony Orchestra'] 1946-12-02
149841,['Beastie Boys'],62453,0,4SBcdSs3VUfuwfVUDxdSiy,0,B-Boy Bouillabaisse: Dropping Names,37,1989-07-25,1989,,['Beastie Boys'] 1989-07-25
70746,['周璇'],136000,0,595Q6OtUnjEjOMXfXy2DdV,1,採檳榔,1,1940-02-01,1940,,['周璇'] 1940-02-01
8775,"['Miklós Rózsa', 'Jascha Heifetz', 'Gregor Piatigorsky']",50400,0,5V5QgKGaJ6w8EX7eQvkYYG,1,"Sinfonia concertante, Op. 29: Tema con variazioni: Variation III",0,1946,1946,,"['Miklós Rózsa', 'Jascha Heifetz', 'Gregor Piatigorsky'] 1946"
51190,['Rush'],896200,0,7gXwGVfRyska5zSaoGzX8y,1,"Working Man/Finding My Way - Live At Massey Hall, Toronto / 1976",24,1976-09-29,1976,,['Rush'] 1976-09-29
72578,"['Them', 'Van Morrison']",139787,0,4cKNrpsSlDlZU9mfUaDPig,1,Call My Name (feat. Van Morrison),20,1966-01-21,1966,,"['Them', 'Van Morrison'] 1966-01-21"
56368,"['Giuseppe Verdi', 'Fernando Previtali', 'Orchestra Sinfonica di Roma della RAI']",365867,0,39SyVdYvZ3swkO3EF1aUC7,1,"Verdi : Nabucco : Part 2 - L'Empio ""S'appressan gl'istanti"" [Chorus, Nabucco, Fenena, Gran Sacerdote, Zaccaria, Anna]",0,1951,1951,,"['Giuseppe Verdi', 'Fernando Previtali', 'Orchestra Sinfonica di Roma della RAI'] 1951"
158314,['Janet Jackson'],287867,0,0Yk6Xgk1Do6fAJWydT1dI6,1,State Of The World,33,1989-09-19,1989,,['Janet Jackson'] 1989-09-19
167549,['Bobby Pulido'],213960,0,03vaFs8JbKg27yTKZshM55,1,Llegaste A Mi Vida,49,1997-01-01,1997,,['Bobby Pulido'] 1997-01-01
51589,['Pat Travers Band'],320600,0,51809m68q6W4h18l6rgAqV,0,Crash And Burn,24,1980-01-01,1980,,['Pat Travers Band'] 1980-01-01
87744,['Morgan Wallen'],234347,0,6foY66mWZN0pSRjZ408c00,1,Whiskey Glasses,81,2018-04-27,2018,,['Morgan Wallen'] 2018-04-27
106382,['Chris Young'],164520,0,3VCWhe7AtBrkhour9t6dq6,0,You,58,2011-07-11,2011,,['Chris Young'] 2011-07-11
