,artists,duration_ms,explicit,id,mode,name,popularity,release_date,year,language,combined_features
132259,['Tracy Chapman'],181267,0,7wBf5LhqfF6A9AVHILTJWi,1,If Not Now...,48,1988-04-05,1988,,['Tracy Chapman'] 1988-04-05
17849,"[""Anita O'Day"", 'Oscar Peterson Quartet']",241000,0,25WtkgYzdYCR0n1IsnvnxY,1,I've Got The World On A String,16,1957-01-01,1957,,"[""Anita O'Day"", 'Oscar Peterson Quartet'] 1957-01-01"
108334,['Frente Popular'],95973,0,0zNaYXRKM2fPsMSWct7YSK,1,Mamita Mia - Remastered,2,1936-03-12,1936,,['Frente Popular'] 1936-03-12
163389,"['Giacomo Puccini', 'Maria Callas', 'Herbert von Karajan', 'Orchestra Del Teatro Alla Scala, Milano']",212480,0,3lHmvtlqo421jbAfQM1Q2a,0,"Puccini: Madama Butterfly, Act 2: ""Che tua madre dovrà"" (Butterfly)",13,1955,1955,,"['Giacomo Puccini', 'Maria Callas', 'Herbert von Karajan', 'Orchestra Del Teatro Alla Scala, Milano'] 1955"
157173,['Chuck Mangione'],613040,0,450X6juQ93aqSeEfigaWtz,1,Maui-Waui,34,1977-12-08,1977,,['Chuck Mangione'] 1977-12-08
123575,['Tom Petty'],298600,0,7bBJ2wBvhbCiNaZRqG3yTr,1,Honey Bee,45,1994-10-21,1994,,['Tom Petty'] 1994-10-21
5067,['The Black Crowes'],313760,0,3sGx2KM96oeSp4bR90stYe,1,Stare It Cold,36,1990-02-13,1990,English,['The Black Crowes'] 1990-02-13
809,"['Max Bruch', 'Isaac Stern', 'Eugene Ormandy', 'Philadelphia Orchestra']",512800,0,56qNZGOr3Aaj6l40lR5fck,1,"Violin Concerto No. 1 in G Minor, Op. 26: II. Adagio",0,1947,1947,,"['Max Bruch', 'Isaac Stern', 'Eugene Ormandy', 'Philadelphia Orchestra'] 1947"
44682,['Grateful Dead'],319049,0,0LySJYHLVsptnmWaSKIzDi,1,Tons of Steel - 2013 Remaster,27,1987,1987,,['Grateful Dead'] 1987
89195,['Roy Fox'],174627,0,28PPmTajNWKDsqQ9TOXhAB,1,On a Steamer Coming Over,1,1934,1934,,['Roy Fox'] 1934
33251,"['Ruggero Leoncavallo', 'Alfredo Simonetto', 'Carla Gavazzi', 'Marcello Rossi', 'Carlo Tagliabue', 'Orchestra Sinfonica e Coro di Milano della RAI']",83907,0,2Cu5IXSRvwVGhvDUqL9cJ2,0,"Leoncavallo: Pagliacci, Act I Scene 3: Non mi tentar! (Nedda, Silvio, Tonio)",0,1951-01-01,1951,,"['Ruggero Leoncavallo', 'Alfredo Simonetto', 'Carla Gavazzi', 'Marcello Rossi', 'Carlo Tagliabue', 'Orchestra Sinfonica e Coro di Milano della RAI'] 1951-01-01"
107980,"[""Orchestra Sinfonica e Coro dell'Eiar""]",259267,0,0sne8dKQBNtJaM04GOxPhm,1,Marcia Delle Legioni (Roma Rivendica L'Impero),2,1933,1933,,"[""Orchestra Sinfonica e Coro dell'Eiar""] 1933"
128591,"['Johannes Brahms', 'Arturo Toscanini']",544960,0,01XW7KrY2WDZ5VHCribChr,0,"Symphony No. 4 in E Minor, Op. 98: IV. Allegro energico e passionata",0,1951,1951,,"['Johannes Brahms', 'Arturo Toscanini'] 1951"
86057,['Sum 41'],178267,1,4KacUpvbA3Mfo05gttTjhN,1,Fat Lip,72,2001-01-01,2001,,['Sum 41'] 2001-01-01
3170,['Shuggie Otis'],202867,0,1vRwPRZUvEitotI7vcdvQY,1,Someone's Always Singing,32,1971,1971,English,['Shuggie Otis'] 1971
64769,['Nelson Riddle'],132800,0,6PHXXl3x2nNPoilqsAASU9,0,Instant Music (Two Beat Society),12,1962-06-21,1962,,['Nelson Riddle'] 1962-06-21
34246,['Frank Sinatra'],49173,0,16DHL2lmakRwFafm5Lp7ag,1,I'm Getting Sentimental Over You (Reprise),10,1961-10,1961,,['Frank Sinatra'] 1961-10
70381,['Cardi B'],229005,1,1vBeIXlzbAieGoDqInav5j,0,Money Bag,60,2018-04-06,2018,,['Cardi B'] 2018-04-06
49479,['Sonny Stitt'],235987,0,1dxcKJDTSSmHvNufB8S0DR,0,Cool Blues,5,1958-01-01,1958,,['Sonny Stitt'] 1958-01-01
70273,"['Maroon 5', 'SZA']",199849,0,6YVpU5vVxezJCYeQUxIkRT,0,What Lovers Do (feat. SZA),57,2017-08-30,2017,,"['Maroon 5', 'SZA'] 2017-08-30"
38631,['Arcade Fire'],289733,0,6oMBDrzwGG1BzCoZyPyGuG,1,Neighborhood #4 (7 Kettles),45,2004-06-16,2004,,['Arcade Fire'] 2004-06-16
47772,['BTS'],235780,0,5nq1uTNIR1cBR72T87viS0,0,Go Go,65,2017-09-18,2017,,['BTS'] 2017-09-18
109342,"['Fritz Kreisler', 'Isaac Stern']",106573,0,0t3Zr8U65UiAst1957weol,1,Schön Rosmarin,2,1947,1947,,"['Fritz Kreisler', 'Isaac Stern'] 1947"
27996,['David Gilmour'],220693,0,0mq6hJKswj2jXHnIPW0CDC,0,I Can't Breathe Anymore,26,1978-05-25,1978,,['David Gilmour'] 1978-05-25
117590,['Ratnaprabha'],202896,0,6pSgQM1k5wPCWsfZE86JPg,1,Prabhu Laaj Bhakton Ki Rakhe Sada,0,1934-12-31,1934,,['Ratnaprabha'] 1934-12-31
42573,['Al Martino'],185627,0,5VXpLSWsDVI0a0so4MU2O9,1,Crying In The Chapel,23,1965-09-04,1965,,['Al Martino'] 1965-09-04
113473,['Bad Religion'],67005,1,6kE91QjOimRTG5BW1BBj4D,1,Do What You Want,47,1988,1988,,['Bad Religion'] 1988
53962,['Klaus Badelt'],212733,0,3ai0FOnzj6FK2vuwc31A3W,1,Blood Ritual,41,2003-07-22,2003,,['Klaus Badelt'] 2003-07-22
53842,['The Cyrkle'],139493,0,213YUBpRZdZGCrtb2dcbzi,1,Red Rubber Ball,42,2002,2002,,['The Cyrkle'] 2002
103406,"['Andrew Lloyd Webber', '""Cats"" 1981 Original London Cast', 'Elaine Paige']",83520,0,5tlzPWUvrHRkc1SSvpiviT,1,End Of Act 1: Memory,49,1981-01-01,1981,,"['Andrew Lloyd Webber', '""Cats"" 1981 Original London Cast', 'Elaine Paige'] 1981-01-01"
72217,"['Johnny Burnette', 'The Johnny Mann Singers']",155867,0,40jvoevvxSFsdDE8to6VO7,0,Moody River,13,1962-06-07,1962,,"['Johnny Burnette', 'The Johnny Mann Singers'] 1962-06-07"
37942,['Dire Straits'],216067,0,6tM6gqc1liYA4403w1nyCc,1,Twisting by the Pool,34,1998-11-10,1998,,['Dire Straits'] 1998-11-10
31128,['Brantley Gilbert'],239387,0,2daFYFGhfrJizdJg6WVHve,1,My Kinda Party,42,2009-01-01,2009,,['Brantley Gilbert'] 2009-01-01
36511,['Marcus Miller'],365000,0,7l0yqQIdnmQny7vOcUKzBT,1,Much Too Much,29,1983,1983,,['Marcus Miller'] 1983
30376,"['Laura Bell Bundy', 'Matthew Morrison', 'Linda Hart']",349400,0,4WETOI0rRKTLF1NqJ8E5Xf,1,You Can't Stop the Beat - Medley,43,2002-08-13,2002,,"['Laura Bell Bundy', 'Matthew Morrison', 'Linda Hart'] 2002-08-13"
102752,['Average White Band'],300837,0,0wNUTleNAhiAFPghCxLt27,1,School Boy Crush,43,1975-06-24,1975,,['Average White Band'] 1975-06-24
13028,['Paige Morehead'],124147,0,0GUX5xnxpyNxY3PC5vLM9L,1,Fast Asleep,32,1988-01-01,1988,,['Paige Morehead'] 1988-01-01
144904,['Αντώνης Νταλγκάς'],178387,0,5mejWgJhntZOZCqnNEv3v6,0,Οι δυο σερέτες,0,1936-01-01,1936,,['Αντώνης Νταλγκάς'] 1936-01-01
88822,['Francisco Canaro'],180987,0,0ERznVfJDUcXGi50dFG0mv,1,Justo el 31 - Remasterizado,0,1930-12-05,1930,,['Francisco Canaro'] 1930-12-05
625,"['Felix Mendelssohn', 'Bruno Walter', 'New York Philharmonic']",275440,0,2thpB5Uz5y3dvf4RJBRzOZ,0,"A Midsummer Night's Dream. Incidental Music, Op. 61: Scherzo - Remastered",0,1945,1945,Unknown,"['Felix Mendelssohn', 'Bruno Walter', 'New York Philharmonic'] 1945"
56694,['Archibald MacLeish'],45627,0,08lYYLwBb0NkSCKa6rQ2Jd,1,The Two Priests,1,1955,1955,,['Archibald MacLeish'] 1955
75680,['Propellerheads'],244400,0,6AyXbkn4cwrErFIMbRBRDs,1,Spybreak! - Short One,44,1997-01-01,1997,,['Propellerheads'] 1997-01-01
38104,['Nine Inch Nails'],317173,0,7LBWAib31Cthfz2KoI611Z,1,The Great Below,40,1999-01-01,1999,,['Nine Inch Nails'] 1999-01-01
119431,['George Shearing Quintet'],157333,0,3AGGjEI2u6XQxTLiThHZv4,1,Undecided,5,1953-01-01,1953,,['George Shearing Quintet'] 1953-01-01
57953,['The Righteous Brothers'],164693,0,2HNN7I6m64Tszxvf0vUlzb,1,Love Keeps Callin' My Name,19,1967-05-13,1967,,['The Righteous Brothers'] 1967-05-13
117881,['Billie Holiday'],186373,0,6MNQukyVgzEuGooGDYpCEP,1,Now They Call It Swing - Take 1,2,1937,1937,,['Billie Holiday'] 1937
39088,['Vetiver'],268360,0,28qOurUpsL6teKyx9GaJVa,1,Strictly Rule,43,2009-02-17,2009,,['Vetiver'] 2009-02-17
110534,['Eddie Heywood'],173573,0,7KCXv8ONKtYtwCIBKHcmHs,0,Canadian Sunset - Single Version,25,1958-05-23,1958,,['Eddie Heywood'] 1958-05-23
120072,['Chuck Berry'],114040,0,43Nyh6ndafXIC9pdiQtmMn,1,Anthony Boy,28,1959-07-01,1959,,['Chuck Berry'] 1959-07-01
53858,['Ayumi Hamasaki'],332733,0,4uraEw7BcTjMmUcRKE3XaD,0,Dearest,52,2002-01-01,2002,,['Ayumi Hamasaki'] 2002-01-01
100188,"['Erik Satie', 'Pierre Bernac', 'Francis Poulenc']",104160,0,015swjrXc0Vv8KgX8g7N2s,1,Trois Melodies: La Statue de bronze,11,1949,1949,,"['Erik Satie', 'Pierre Bernac', 'Francis Poulenc'] 1949"
30210,['Cradle Of Filth'],384813,0,0IVdlBreRkZn0ftoUwB0T6,0,Her Ghost in the Fog,45,2000-06-01,2000,,['Cradle Of Filth'] 2000-06-01
71707,['Herbie Mann'],357827,0,6Yk5JjbNqjMaNHJz3z5hV2,0,Yardbird Suite,7,1957-01-01,1957,,['Herbie Mann'] 1957-01-01
94318,['James Brown'],282840,0,4Y5yjzs9FFw5qIgfZBd43I,1,"Living in America - From ""Rocky IV"" Soundtrack",54,1985,1985,,['James Brown'] 1985
114016,['Clay Walker'],169773,0,39B9IpMNTUDOzW0JuVHlq4,1,Live Until I Die,44,1993,1993,,['Clay Walker'] 1993
91345,['Frank Sinatra'],139227,0,4q6vMqwAOt3qog2i97lNIC,0,You're Getting To Be A Habit With Me - Remastered 1998,35,1956-03,1956,,['Frank Sinatra'] 1956-03
79375,"['Pablo de Sarasate', 'William Steinberg', 'Jascha Heifetz']",111560,0,4aHQUcd0xRdIBOLQzQtO82,0,"Zigeunerweisen, Op. 20: Un poco più lento",6,1934,1934,,"['Pablo de Sarasate', 'William Steinberg', 'Jascha Heifetz'] 1934"
149204,['The Chameleons'],237787,0,4Uv6BVQUcdxUkIRDAQ7a7l,1,Up the Down Escalator,39,1983,1983,,['The Chameleons'] 1983
24840,['Dilshad Begum'],172352,0,6b83O7pGiYRHy3smo9oqL8,1,O Nargis Pyare,0,1947-12-31,1947,,['Dilshad Begum'] 1947-12-31
47821,['SEBASTIAN PAUL'],266394,1,1cQCdozRmaErXowT6iDQML,1,TROJAN HORSE,61,2018-07-20,2018,,['SEBASTIAN PAUL'] 2018-07-20
30283,['India.Arie'],245800,0,2bGbsL0v9rTndISpJhRT7F,1,Beautiful,42,2001-01-01,2001,,['India.Arie'] 2001-01-01
103097,['Van Morrison'],346987,0,6KrMDGTp9CtkMLKyftDUTD,1,Wavelength - Remastered,46,1978-09,1978,,['Van Morrison'] 1978-09
46693,['Jason Aldean'],204267,0,5I6aGUlPQMacL3jsB7D52n,1,Who's Kissing You Tonight,41,2007-05-29,2007,,['Jason Aldean'] 2007-05-29
6660,['The Killers'],248467,0,1Rr17slUHwVRkDz4A2TUcM,0,Bling (Confession Of A King),52,2006-10-02,2006,English,['The Killers'] 2006-10-02
49983,['Bill Evans Trio'],271667,0,1EARkQbT7PpAp3mnYbs0pl,1,My Heart Stood Still - Live,17,1963,1963,,['Bill Evans Trio'] 1963
138693,['The Dixie Cups'],156965,0,27M1TykdEo1TQc00E6gi0f,1,People Say,23,1964,1964,,['The Dixie Cups'] 1964
111596,"['Desmond Dekker', 'The Aces']",189440,0,7t8hZZ13ePJH22jc1vJkCO,0,Fu Man Chu,47,1969-01-01,1969,,"['Desmond Dekker', 'The Aces'] 1969-01-01"
42806,['Brooklyn Bridge'],199320,0,4Qs6TOTizecDDtxpZj2Yms,1,Blessed Is the Rain,18,1968,1968,,['Brooklyn Bridge'] 1968
86817,['Natasha Bedingfield'],202907,0,1uigwk5hNV84zRd5YQQRTk,0,Pocketful of Sunshine,63,2008-01-22,2008,,['Natasha Bedingfield'] 2008-01-22
41317,"['Carlo Pepoli', 'Vincenzo Bellini', 'Maria Callas', 'Giuseppe Di Stefano', 'Orchestra Del Teatro Alla Scala, Milano', 'Tullio Serafin', 'Orchestra Del Teatro Alla Scala Di Milan']",189480,0,1z6TxVeuG5Kn5zjsXSEUKU,1,"I Puritani (1986 - Remaster), Act III: Ch'ei provò lontan da me?",0,1953,1953,,"['Carlo Pepoli', 'Vincenzo Bellini', 'Maria Callas', 'Giuseppe Di Stefano', 'Orchestra Del Teatro Alla Scala, Milano', 'Tullio Serafin', 'Orchestra Del Teatro Alla Scala Di Milan'] 1953"
44775,['The Isley Brothers'],158760,0,55EVHSQa3hPgql3LSP32Ev,0,Take Me In Your Arms (Rock Me A Little While),28,1987-01-01,1987,,['The Isley Brothers'] 1987-01-01
139960,['Al Di Meola'],312027,0,7lflARLzeb71KjdYPU7CFt,0,Mediterranean Sundance,43,1977,1977,,['Al Di Meola'] 1977
146633,['B.B. King'],169453,0,0aa4frPXLx96nl0DRwxrdX,1,Boogie Woogie Woman,16,1957-01-01,1957,,['B.B. King'] 1957-01-01
136937,['Tapati Dam'],181120,0,2cM71IWXE6vq5zniQpSaTH,1,Durer Bandhu Surer,0,1947-12-01,1947,,['Tapati Dam'] 1947-12-01
64506,['Harold Courlander'],140453,0,2bNZXgTSxwAe2u0futqz8S,1,The Porcupine's Hoe,6,1959-01-01,1959,,['Harold Courlander'] 1959-01-01
25447,"['George Frideric Handel', 'Johanna Martzy', 'Jean Antonietti']",181826,0,1VY1iKFWpgsguJFrSp0v1p,1,"Violin Sonata in A Major, HWV 361: IV. Allegro",0,1953,1953,,"['George Frideric Handel', 'Johanna Martzy', 'Jean Antonietti'] 1953"
37221,['The Sundays'],262893,0,0xfIytYdMN0rFViPcHDPos,0,I Won,28,1990-01-01,1990,,['The Sundays'] 1990-01-01
132593,['Gipsy Kings'],230200,0,63JOnZasMIJQSCiwqXpsTl,0,No Volvere,38,1991-06-28,1991,,['Gipsy Kings'] 1991-06-28
13753,['Cibo Matto'],269760,0,2mQnPuVeoJXwS8p9J4JUIb,1,Sugar Water,41,1996,1996,,['Cibo Matto'] 1996
61487,"['A.B. Quintanilla III', 'Kumbia All Starz']",209440,0,179kBZK7Vil0uCDJDewswz,0,Insomnio,47,2003-01-01,2003,,"['A.B. Quintanilla III', 'Kumbia All Starz'] 2003-01-01"
79890,['MGM Studio Orchestra'],38027,0,3tGM3CthqbDoQyqKzGYFJX,1,Farmyard - Outtake,23,1939-08-25,1939,,['MGM Studio Orchestra'] 1939-08-25
77680,['Young Thug'],220707,1,0jPLBur1qXRfj3pbuJSX03,1,Killed Before,57,2017-10-20,2017,,['Young Thug'] 2017-10-20
51870,['Robert Plant'],242107,0,0wAOWZk7n7UGc6LiJmqR2W,0,Pledge Pin - 2006 Remaster,25,1982-06-28,1982,,['Robert Plant'] 1982-06-28
78801,"['Frédéric Chopin', 'Arthur Rubinstein']",397280,0,1JQJisbyySFbJVQtNiUGAH,0,"Chopin: Nocturne No. 12 in G Major, Op. 37 No. 2",10,1928,1928,,"['Frédéric Chopin', 'Arthur Rubinstein'] 1928"
75169,['Richard Mayner'],165333,0,6e811bq5QZV8yGdabWotc8,0,Matrimonio de Amor,44,1992-04-01,1992,,['Richard Mayner'] 1992-04-01
132104,['Dazz Band'],244627,0,2Ynp5ER7uqvO0AheC3IK2g,0,Let It Whip - Single Version,34,1986-01-01,1986,,['Dazz Band'] 1986-01-01
130949,['Aerosmith'],303200,0,2nrIJJyrGF2J2YqiO8J9lR,1,Round And Round,37,1975-04-08,1975,,['Aerosmith'] 1975-04-08
79796,['Benny Goodman Quartet'],244427,0,6WezIW7z48q265Lb4fPpIz,1,Avalon - Live,10,1938,1938,,['Benny Goodman Quartet'] 1938
75196,"['Dmitri Shostakovich', 'Tasmin Little', 'Piers Lane']",194267,0,7c8EKQLv5ld1uWm1BdGqds,1,"Shostakovich: The Gadfly Suite, Op. 97a: VIII. Romance",35,1992,1992,,"['Dmitri Shostakovich', 'Tasmin Little', 'Piers Lane'] 1992"
131023,['Soft Machine'],559520,0,7J2kYMUtOIzKU9Tpd6YDYX,1,Hazard Profile Part 1,42,1975,1975,,['Soft Machine'] 1975
76609,['Ernest Tubb'],173093,0,637H6WFOu2z7neejRnY2kf,1,Drivin' Nails In My Coffin - Single Version,40,2006-06-06,2006,,['Ernest Tubb'] 2006-06-06
104840,['The Emotions'],219933,0,6UjlpJhUqOQqv0hrb38IDI,1,Best of My Love,57,1996,1996,,['The Emotions'] 1996
50609,['Elton John'],130827,0,3x7yQrvmr7xoYrwQ0VNKmu,0,I Need You To Turn To - Piano Demo,27,1970-04-10,1970,,['Elton John'] 1970-04-10
86788,['Rihanna'],238627,0,2VOomzT6VavJOGBeySqaMc,0,Disturbia,72,2008-06-02,2008,,['Rihanna'] 2008-06-02
9690,['Brownie McGhee'],186227,0,0rSNTYWc41eWN0FOzrBeGX,0,Move to Kansas City,5,1955-01-01,1955,,['Brownie McGhee'] 1955-01-01
88643,"['Francisco Canaro', 'Charlo']",202000,0,0kll9PYaGJwsR8nz5kZgmu,1,Poema de Amor - Remasterizado,0,1929-11-06,1929,,"['Francisco Canaro', 'Charlo'] 1929-11-06"
133520,['Maria McKee'],224707,0,7vOhmiURT3Bv8iFeNxw7Oh,1,"Show Me Heaven - From ""Days Of Thunder""",47,2000-01-01,2000,,['Maria McKee'] 2000-01-01
147196,"['Edward Elgar', 'Sir John Barbirolli', 'Philharmonia Orchestra']",210373,0,1xc7ToZstSuiFDXCZ0PEFt,1,"Elgar: Variations on an Original Theme, Op. 36 ""Enigma"": Variation IX. Adagio ""Nimrod""",28,1963-01-01,1963,,"['Edward Elgar', 'Sir John Barbirolli', 'Philharmonia Orchestra'] 1963-01-01"
161671,['Эрнест Хемингуэй'],102468,1,7x4DJltsfBb2jgz6nvzPz0,1,Часть 4.3 & Часть 5.1 - Прощай оружие,0,1929,1929,,['Эрнест Хемингуэй'] 1929
23286,['Cody Johnson'],220172,0,4QbPdzir5WY3Moq2X0UrG9,1,Talk To Me Right,45,2011-05-03,2011,,['Cody Johnson'] 2011-05-03
108557,['Titi Botez'],184085,0,0jdzLTp3JPKMa2DIfJ6xVY,1,Pe micul tău album,0,1939-01-01,1939,,['Titi Botez'] 1939-01-01
162499,['University of North Texas Symphony Orchestra'],142067,0,4LXESC7TmarQVXWb1iBwjp,1,ศุกร์สัญลักษณ์,0,1946-12-02,1946,,['University of North Texas Symphony Orchestra'] 1946-12-02
28303,['Paco de Lucía'],362093,0,2tzcA6IYx1pnboBuI3enoE,0,Entre Dos Aguas - Instrumental,28,1981-01-01,1981,,['Paco de Lucía'] 1981-01-01
139576,['Steely Dan'],418293,0,5SS0LwKR6X2HHjC0yHUvbB,0,Your Gold Teeth,36,1973-01-01,1973,,['Steely Dan'] 1973-01-01
86267,['50 Cent'],249467,1,2D1hlMwWWXpkc3CZJ5U351,0,P.I.M.P.,66,2003-02-06,2003,,['50 Cent'] 2003-02-06
47436,"['Beyoncé', 'Blue Ivy']",266920,0,2LjkT4gu5wO4JdeEYl0fMY,1,Blue (feat. Blue Ivy),53,2014-11-24,2014,,"['Beyoncé', 'Blue Ivy'] 2014-11-24"
136168,"['Francisco Canaro', 'Roberto Maida']",189373,0,4TVv4JuijpvC646lPZDOtu,1,Jardinerita de Triana - Remasterizado,0,1936-01-10,1936,,"['Francisco Canaro', 'Roberto Maida'] 1936-01-10"
81538,['Gwen Verdon'],194573,0,7mqiqyz0dddDRerw6981wB,0,Whatever Lola Wants,23,1955,1955,,['Gwen Verdon'] 1955
120158,['Marty Robbins'],106107,0,34AgRDRpCjON2r0VUGR9jq,0,My Love,20,1960-07-18,1960,,['Marty Robbins'] 1960-07-18
62479,"['Brandon Mychal Smith', 'Tyler James Williams']",195707,0,0CTZQno7SjUG4Qb0736anc,1,Moment Of Truth,44,2012-06-12,2012,,"['Brandon Mychal Smith', 'Tyler James Williams'] 2012-06-12"
116453,"['DJ Khaled', 'Justin Bieber', 'Quavo', 'Chance the Rapper']",260000,1,5WvAo7DNuPRmk4APhdPzi8,1,No Brainer,74,2018-07-27,2018,,"['DJ Khaled', 'Justin Bieber', 'Quavo', 'Chance the Rapper'] 2018-07-27"
127200,['The 1937 Flood'],174133,0,7rOuiFB7fNj3Is1CaoTgyE,1,Don't Let Your Deal Go Down,0,1937,1937,,['The 1937 Flood'] 1937
125337,"['Jerry Douglas', 'Mumford & Sons', 'Paul Simon']",245400,0,04Dqz6T7vL4APHblHSdR4q,1,The Boxer,55,2012-09-25,2012,,"['Jerry Douglas', 'Mumford & Sons', 'Paul Simon'] 2012-09-25"
148241,['ZZ Top'],194013,0,6QdCUpQjspiOX0otKX9hAk,1,Have You Heard? - 2005 Remaster,37,1973-07-26,1973,,['ZZ Top'] 1973-07-26
79728,['Raymond Scott'],157533,0,6ib3LwTufJ05B4M6RonzAE,1,The Quintet Plays Carmen,7,1937,1937,,['Raymond Scott'] 1937
161140,['Kane Brown'],191733,0,4iLeL1aYGcQBsYcWIhXIUO,0,Found You,61,2017-10-06,2017,,['Kane Brown'] 2017-10-06
82280,['The Rivieras'],146133,0,6qpTh8eRZ4wPycoRZvbWnd,1,California Sun,50,1963,1963,,['The Rivieras'] 1963
135021,['Five Finger Death Punch'],242956,1,1hntQPOGfiSztG0cASWRoX,0,I Apologize,58,2015-09-04,2015,,['Five Finger Death Punch'] 2015-09-04
85645,"['The Notorious B.I.G.', 'Mase', 'Diddy']",257400,1,4INDiWSKvqSKDEu7mh8HFz,0,Mo Money Mo Problems (feat. Puff Daddy & Mase) - 2014 Remaster,74,1997-03-04,1997,,"['The Notorious B.I.G.', 'Mase', 'Diddy'] 1997-03-04"
100345,['Wynton Kelly'],180720,0,2Q3HRh5lv753rDhyrCpCvB,1,There'll Never Be Another You,10,1951-07-28,1951,,['Wynton Kelly'] 1951-07-28
61117,['Ann Lee'],231001,0,4abEcEslcRjBS6xSZh9naQ,1,2 Times - Original,57,1999-09-16,1999,,['Ann Lee'] 1999-09-16
46738,['Chuck Wicks'],242733,0,0Pvbr31U9bjdvUUNGNFnQJ,1,Stealing Cinderella,40,2007-08-28,2007,,['Chuck Wicks'] 2007-08-28
51607,['Journey'],412933,0,5f8I1PPdk35dSPbVFXQEun,1,Dixie Highway - Live,23,1980,1980,,['Journey'] 1980
127908,['Gyan Dutt'],215449,0,5lMKPQ4Krtx3eJU94gwEI6,1,Shyam Kahan Aisi Jamuna Bata,0,1944-12-31,1944,,['Gyan Dutt'] 1944-12-31
122999,['Nataural'],167137,0,4WjgebiAotVKXyxix0oQRa,0,Under Shelter Rain,40,1988-05-12,1988,,['Nataural'] 1988-05-12
123403,['Hi-Five'],275160,0,2MYtYwqRutASW0oVTYPuEX,1,She's Playing Hard To Get,43,1992-08-10,1992,,['Hi-Five'] 1992-08-10
131210,['The Alan Parsons Project'],362493,0,3BoGLNCZJXzvRugqtROpAY,1,I Robot,42,1977-06-01,1977,,['The Alan Parsons Project'] 1977-06-01
146002,['Lefty Frizzell'],171440,0,0RIZNOtua86n8qbBvrt2Gh,1,I Love You (Though You're No Good) - 1952 Version,0,1951,1951,,['Lefty Frizzell'] 1951
104525,['Beastie Boys'],256488,0,4eIfmbGZy21bvnBLHSf7DE,1,Pass The Mic - Remastered 2009,49,1992-04-21,1992,,['Beastie Boys'] 1992-04-21
60836,['Maxwell'],161800,0,21xVx0n3qonzK2PXah9M1S,0,The Urban Theme,38,1996-04-02,1996,,['Maxwell'] 1996-04-02
10118,['Nina Simone'],209840,0,2zHTFkhwv9BMXGiHEBVLmo,1,Fine and Mellow - Live Version - Sept. 1959,10,1959,1959,,['Nina Simone'] 1959
112708,['Wailing Souls'],255440,0,7hnayhSRyYdRGr3YjMpLJb,1,Fire House Rock,43,1980,1980,,['Wailing Souls'] 1980
67449,['Prefab Sprout'],265467,0,0BeaqEnmbH6NTnede0s6Jo,0,Cars and Girls,27,1988-03-14,1988,,['Prefab Sprout'] 1988-03-14
6985,['Whitefield Brothers'],182920,0,52iNHmkGXRi5e1zCrOGM0V,1,Buster,48,2009-03-10,2009,English,['Whitefield Brothers'] 2009-03-10
153911,['Chapuseaux y Damirón'],146013,0,23hml0dpJz0JhI0jicebfs,1,La Subidora,0,1945-01-01,1945,,['Chapuseaux y Damirón'] 1945-01-01
87370,['Dierks Bentley'],254467,0,1soxUgYIZb1qx1c7o1Lc7z,1,Drunk On A Plane,70,2014-01-01,2014,,['Dierks Bentley'] 2014-01-01
24786,"['Sergei Rachmaninoff', 'Eugene Ormandy', 'Philadelphia Orchestra']",657160,0,6h4zPmBRgywLCr3VnuF2Pg,1,"Piano Concerto No. 2 in C Minor, Op. 18: III. Allegro scherzando",0,1946,1946,,"['Sergei Rachmaninoff', 'Eugene Ormandy', 'Philadelphia Orchestra'] 1946"
92996,['Neil Diamond'],195160,0,4FZ8wtTaOAbYvyChBt4GEQ,1,Song Sung Blue - Single Version,57,1972-07-15,1972,,['Neil Diamond'] 1972-07-15
85434,['Alice In Chains'],254400,0,6HnZsLUDrG3HTSbh8sq2u3,1,I Stay Away,60,1994,1994,,['Alice In Chains'] 1994
128330,['Suraiya'],184427,0,1yspm3DRY6UK7jkweTcwIP,0,Aaj Ki Raat Mohabbat Hai Jawan,0,1948-01-01,1948,,['Suraiya'] 1948-01-01
19877,['The Animals'],284693,0,3F6EGhDFPmaSA4lttRFMc9,1,Please Send Me Someone to Love,33,1977-08,1977,,['The Animals'] 1977-08
97253,"['Leslie Odom Jr.', 'Anthony Ramos', 'Daveed Diggs', 'Okieriete Onaodowan', 'Lin-Manuel Miranda', 'Phillipa Soo', 'Original Broadway Cast of Hamilton']",236738,0,4TTV7EcfroSLWzXRY6gLv6,0,Alexander Hamilton,70,2015-09-25,2015,,"['Leslie Odom Jr.', 'Anthony Ramos', 'Daveed Diggs', 'Okieriete Onaodowan', 'Lin-Manuel Miranda', 'Phillipa Soo', 'Original Broadway Cast of Hamilton'] 2015-09-25"
144921,['Coro Infantil Sinfonico'],154946,0,6215ng5IkDUJshh2fCTG7g,0,Ecce Gratum,0,1936,1936,,['Coro Infantil Sinfonico'] 1936
54518,['Lynyrd Skynyrd'],344747,0,1Yzi4gxDELjWljeiJWyMab,1,God & Guns,45,2009-09-25,2009,,['Lynyrd Skynyrd'] 2009-09-25
32231,['Alejandro Fernández'],326840,0,6vBgYbRLVm1zpPxSzeau8B,1,Me Olvidé De Vivir,2,2020-06-05,2020,,['Alejandro Fernández'] 2020-06-05
